time,day,DO,T,T_prime,DO_prime,DO_IM,DO_clean
2024-07-06T04:30:00Z,2024-07-06,6.96795310519878,13.6555408930829,-1.3916195962912,-1.19368870667644,-1.02451390899394,7.99246701419272
2024-07-06T04:40:00Z,2024-07-06,6.84785782553101,13.4566524196148,-1.59050806975926,-1.31378398634421,-1.0783548247501,7.92621265028111
2024-07-06T04:50:00Z,2024-07-06,6.8699256944889,13.4475761280516,-1.59958436132252,-1.29171611738632,-1.08050827990155,7.95043397439045
2024-07-06T05:00:00Z,2024-07-06,6.81748307640752,13.2393092083656,-1.80785128100847,-1.3441587354677,-1.12264186322133,7.94012493962885
2024-07-06T05:10:00Z,2024-07-06,6.87737302617742,13.3352938580584,-1.71186663131566,-1.2842687856978,-1.10495697539486,7.98233000157229
2024-07-06T05:20:00Z,2024-07-06,6.96164351368607,13.5068678142943,-1.54029267507981,-1.19999829818916,-1.06596178574251,8.02760529942858
2024-07-06T05:30:00Z,2024-07-06,6.84272513583797,13.2763878668298,-1.77077262254428,-1.31891667603725,-1.11616151341342,7.9588866492514
2024-07-06T05:40:00Z,2024-07-06,6.8362437981609,13.1797420146663,-1.86741847470778,-1.32539801371432,-1.13212670189191,7.96837050005281
2024-07-06T05:50:00Z,2024-07-06,6.84344093472727,13.1072497027991,-1.93991078657501,-1.31820087714795,-1.14212989867485,7.98557083340211
2024-07-06T06:00:00Z,2024-07-06,6.93141923688027,13.2757946145985,-1.77136587477556,-1.23022257499496,-1.11626867913804,8.04768791601831
2024-07-06T06:10:00Z,2024-07-06,6.96355444383481,13.3240310397044,-1.72312944966972,-1.19808736804041,-1.1071855838958,8.07074002773061
2024-07-06T06:20:00Z,2024-07-06,6.97474053696009,13.3245732360686,-1.72258725330547,-1.18690127491513,-1.10707923270276,8.08181976966286
2024-07-06T06:30:00Z,2024-07-06,7.22438582305677,13.7151175079712,-1.33204298140291,-0.937255988818449,-1.00590940156226,8.23029522461903
2024-07-06T06:40:00Z,2024-07-06,7.41026398435234,14.0049415111403,-1.04221897823381,-0.751377827522878,-0.899116877764355,8.3093808621167
2024-07-06T06:50:00Z,2024-07-06,7.60622419205907,14.2914673123882,-0.755693176985828,-0.55541761981615,-0.766979905234564,8.37320409729363
2024-07-06T07:00:00Z,2024-07-06,7.67763764491824,14.4199721579373,-0.62718833143672,-0.484004166956982,-0.699139627082311,8.37677727200055
2024-07-06T07:10:00Z,2024-07-06,7.8250606787602,14.6678801190009,-0.379280370373145,-0.336581133115018,-0.553255844242408,8.37831652300261
2024-07-06T07:20:00Z,2024-07-06,8.07135664452721,14.9273641886914,-0.119796300682633,-0.090285167348009,-0.379384746551922,8.45074139107913
2024-07-06T07:30:00Z,2024-07-06,8.29159875047741,15.1480263312889,0.100865841914841,0.129956938602191,-0.214486620215042,8.50608537069245
2024-07-06T07:40:00Z,2024-07-06,8.56943189599613,15.5144181522403,0.467257662866242,0.407790084120913,0.0939072854461473,8.47552461054999
2024-07-06T07:50:00Z,2024-07-06,8.8577572319309,15.8478628384172,0.800702349043087,0.696115420055676,0.412100791575593,8.4456564403553
2024-07-06T08:00:00Z,2024-07-06,9.29044816864356,16.341560960666,1.2944004712919,1.12880635676833,0.948895436800836,8.34155273184272
2024-07-06T08:10:00Z,2024-07-06,9.5813453536206,16.6007561439053,1.55359565453123,1.41970354174538,1.2621025049677,8.3192428486529
2024-07-06T08:20:00Z,2024-07-06,9.83631714320888,16.847890535382,1.80073004600792,1.67467533133366,1.58086073357413,8.25545640963475
2024-07-06T08:30:00Z,2024-07-06,10.1012804958687,17.0891071372243,2.0419466478502,1.93963868399346,1.91093191223111,8.19034858363757
2024-07-06T08:40:00Z,2024-07-06,10.3292998778447,17.2794812239411,2.23232073456704,2.16765806596951,2.18464681963228,8.14465305821244
2024-07-06T08:50:00Z,2024-07-06,10.4194862701334,17.357362969368,2.31020247999392,2.25784445825822,2.29998331843358,8.11950295169985
2024-07-06T09:00:00Z,2024-07-06,10.4804235926893,17.3744168224463,2.32725633307224,2.31878178081409,2.32549907167065,8.15492452101866
2024-07-06T09:10:00Z,2024-07-06,10.6141310206352,17.5377038926582,2.49054340328412,2.45248920876,2.57454315548666,8.03958786514856
2024-07-06T09:20:00Z,2024-07-06,10.6924086511078,17.5967736232902,2.54961313391608,2.53076683923261,2.66674828309399,8.02566036801384
2024-07-06T09:30:00Z,2024-07-06,10.7549032922366,17.6359733073755,2.58881281800143,2.59326148036137,2.72855673173768,8.02634656049892
2024-07-06T09:40:00Z,2024-07-06,10.593492281039,17.4610658192924,2.41390532991831,2.43185046916373,2.45658737533409,8.13690490570487
2024-07-06T09:50:00Z,2024-07-06,10.6741603047404,17.4856802118489,2.43851972247485,2.51251849286522,2.49426611709343,8.17989418764702
2024-07-06T10:00:00Z,2024-07-06,10.5054083769891,17.3366062089788,2.28944571960469,2.34376656511387,2.26905354900649,8.23635482798261
2024-07-06T10:10:00Z,2024-07-06,10.2131635018846,17.0852752560304,2.03811476665631,2.0515216900094,1.90554222064723,8.30762128123739
2024-07-06T10:20:00Z,2024-07-06,10.145554242464,17.020237648656,1.97307715928196,1.98391243058877,1.81478465473318,8.33076958773081
2024-07-06T10:30:00Z,2024-07-06,9.87431075499461,16.7038350339697,1.65667454459559,1.71266894311939,1.39266723055563,8.48164352443898
2024-07-06T10:40:00Z,2024-07-06,9.66556368494417,16.5023749383644,1.45521444899035,1.50392187306895,1.1406757786256,8.52488790631857
2024-07-06T10:50:00Z,2024-07-06,9.29007440050047,16.1087779357941,1.06161744642001,1.12843258862525,0.686023594429161,8.60405080607131
2024-07-06T11:00:00Z,2024-07-06,9.07928528960809,15.8569015154987,0.809741026124595,0.91764347773287,0.421223928129823,8.65806136147827
2024-07-06T11:10:00Z,2024-07-06,8.87127340124203,15.5783718510777,0.531211361703642,0.709631589366808,0.152163912205602,8.71910948903643
2024-07-06T11:20:00Z,2024-07-06,8.44421506846551,15.0694271861302,0.0222666967561604,0.282573256590293,-0.275018663896981,8.7192337323625
2024-07-06T11:30:00Z,2024-07-06,8.20654610621626,14.7347091769777,-0.312451312396389,0.0449042943410358,-0.510546768275573,8.71709287449183
2024-07-06T11:40:00Z,2024-07-06,7.94514342709281,14.3336271767574,-0.713533312616677,-0.216498384782407,-0.745308347352459,8.69045177444527
2024-07-06T11:50:00Z,2024-07-06,7.74016618422512,14.0519672395286,-0.995193249845499,-0.421475627650102,-0.879241447916183,8.6194076321413
2024-07-06T12:00:00Z,2024-07-06,7.52837184683743,13.7463472904051,-1.30081319896899,-0.633269965037792,-0.995700906530263,8.52407275336769
2024-07-06T12:10:00Z,2024-07-06,7.39960847443965,13.4426664973426,-1.60449399203143,-0.762033337435569,-1.08166210288759,8.48127057732724
2024-07-06T12:20:00Z,2024-07-06,7.3620762204461,13.3260969824878,-1.72106350688629,-0.799565591429123,-1.10677984529907,8.46885606574517
2024-07-06T12:30:00Z,2024-07-06,7.29314743909309,13.2497425979663,-1.79741789140773,-0.868494372782136,-1.12086309955669,8.41401053864978
2024-07-06T12:40:00Z,2024-07-06,7.19521946641745,13.0216124648831,-2.02554802449095,-0.966422345457769,-1.151769001293,8.34698846771046
2024-07-06T12:50:00Z,2024-07-06,7.11286473027101,12.9044764359715,-2.14268405340261,-1.04877708160421,-1.16113342026954,8.27399815054055
2024-07-06T13:00:00Z,2024-07-06,7.06490961203954,12.8241570916306,-2.22300339774351,-1.09673219983568,-1.16500381353915,8.22991342557869
2024-07-06T13:10:00Z,2024-07-06,7.02339407712247,12.6785676242987,-2.36859286507535,-1.13824773475275,-1.16672963962108,8.19012371674355
2024-07-06T13:20:00Z,2024-07-06,6.95351063176821,12.5645901145795,-2.4825703747946,-1.20813118010701,-1.1633225357272,8.11683316749541
2024-07-06T13:30:00Z,2024-07-06,6.92464682675572,12.4479403277683,-2.59922016160573,-1.2369949851195,-1.15550873089217,8.08015555764789
2024-07-06T13:40:00Z,2024-07-06,6.97150408383564,12.5757112188594,-2.47144927051464,-1.19013772803958,-1.16383894906315,8.13534303289879
2024-07-06T13:50:00Z,2024-07-06,6.95725338370401,12.6254798444492,-2.42168064492489,-1.20438842817121,-1.16566259011433,8.12291597381835
2024-07-06T14:00:00Z,2024-07-06,6.94256910741683,12.5859095829071,-2.46125090646702,-1.21907270445839,-1.16427754573405,8.10684665315088
2024-07-06T14:10:00Z,2024-07-06,7.02829999071777,12.7692913243841,-2.27786916498992,-1.13334182115745,-1.16645476000638,8.19475475072414
2024-07-06T14:20:00Z,2024-07-06,7.16972373435161,13.0735201996922,-1.97364028968187,-0.991918077523614,-1.14620799224542,8.31593172659703
2024-07-06T14:30:00Z,2024-07-06,7.20835587106566,13.2475882378783,-1.7995722514958,-0.95328594080956,-1.12123325987273,8.32958913093839
2024-07-06T14:40:00Z,2024-07-06,7.301006847721,13.4498325622688,-1.5973279271053,-0.860634964154222,-1.07997538976723,8.38098223748823
2024-07-06T14:50:00Z,2024-07-06,7.40881148458924,13.6609406580453,-1.38621983132873,-0.752830327285982,-1.022874727781,8.43168621237024
2024-07-06T15:00:00Z,2024-07-06,7.72466701399976,14.1578272021862,-0.889333287187887,-0.436974797875458,-0.831896730779248,8.55656374477901
2024-07-06T15:10:00Z,2024-07-06,7.90880086061383,14.5165222692047,-0.530638220169349,-0.252840951261388,-0.64467414762502,8.55347500823885
2024-07-06T15:20:00Z,2024-07-06,7.95431450905561,14.5986659485078,-0.448494540866317,-0.207327302819613,-0.595974777595132,8.55028928665074
2024-07-06T15:30:00Z,2024-07-06,8.1454015532106,14.8745178867539,-0.172642602620162,-0.016240258664622,-0.416551483161089,8.56195303637169
2024-07-06T15:40:00Z,2024-07-06,8.44706307264802,15.3155281825383,0.268367693164256,0.285421260772795,-0.0788574866039527,8.52592055925197
2024-07-06T15:50:00Z,2024-07-06,8.79720489370424,15.7373614825419,0.690200993167872,0.635563081829018,0.302691377505825,8.49451351619841
2024-07-06T16:00:00Z,2024-07-06,8.85927976347555,15.8264424388161,0.779281949442044,0.697637951600326,0.39058516936777,8.46869459410778
2024-07-06T16:10:00Z,2024-07-06,9.06278818517754,16.0643045937304,1.01714410435631,0.901146373302318,0.637784914187965,8.42500327098957
2024-07-06T16:20:00Z,2024-07-06,9.31276521101483,16.3404378660478,1.29327737667376,1.15112339913961,0.947585329641883,8.36517988137295
2024-07-06T16:30:00Z,2024-07-06,9.51929553137685,16.5556887232162,1.50852823384211,1.35765371950163,1.2060917328206,8.31320379855625
2024-07-06T16:40:00Z,2024-07-06,9.53137976204091,16.6005839434671,1.55342345409306,1.36973795016569,1.26188724711898,8.26949251492193
2024-07-06T16:50:00Z,2024-07-06,9.47963212291599,16.6071936128071,1.560033123433,1.31799031104077,1.27015645738614,8.20947566552985
2024-07-06T17:00:00Z,2024-07-06,9.61711496340973,16.707904833255,1.6607443438809,1.45547315153451,1.39789237073896,8.21922259267076
2024-07-06T17:10:00Z,2024-07-06,9.69575136825139,16.8180132475244,1.77085275815032,1.53410955637617,1.54128051605264,8.15447085219875
2024-07-06T17:20:00Z,2024-07-06,9.58837535116454,16.7423940932251,1.69523360385102,1.42673353928932,1.44238638202453,8.14598896914001
2024-07-06T17:30:00Z,2024-07-06,9.67070997685235,16.8165992912765,1.76943880190245,1.50906816497713,1.53941448019172,8.13129549666063
2024-07-06T17:40:00Z,2024-07-06,9.58092648624013,16.7601157647994,1.71295527542532,1.41928467436491,1.46539762373196,8.11552886250818
2024-07-06T17:50:00Z,2024-07-06,9.49942784728609,16.7094925319227,1.66233204254865,1.33778603541087,1.39993223241632,8.09949561486977
2024-07-06T18:00:00Z,2024-07-06,9.25822074082019,16.4881122365648,1.44095174719076,1.09657892894497,1.12333047372561,8.13489026709458
2024-07-06T18:10:00Z,2024-07-06,9.00239191913479,16.2022991283651,1.15513863899098,0.840750107259565,0.789538375608099,8.21285354352669
2024-07-06T18:20:00Z,2024-07-06,8.92683522056763,16.2064557412554,1.15929525188136,0.765193408692412,0.79420445978396,8.13263076078367
2024-07-06T18:30:00Z,2024-07-06,8.69468922426416,15.921389366393,0.874228877018929,0.533047412388941,0.487076966981768,8.20761225728239
2024-07-06T18:40:00Z,2024-07-06,8.42452537057723,15.6496270557051,0.602466566331042,0.262883558702011,0.218621133535317,8.20590423704192
2024-07-06T18:50:00Z,2024-07-06,8.08369746707961,15.2739518334752,0.226791344101168,-0.0779443447956076,-0.11336461517935,8.19706208225896
2024-07-06T19:00:00Z,2024-07-06,8.01639534186775,15.1518261901564,0.104665700782329,-0.145246470007471,-0.211509854080346,8.2279051959481
2024-07-06T19:10:00Z,2024-07-06,7.92600985602202,15.0647455046902,0.0175850153161434,-0.235631955853197,-0.278561488339924,8.20457134436195
2024-07-06T19:20:00Z,2024-07-06,7.73812116767745,14.8860103897058,-0.161150099668241,-0.423520644197769,-0.408545257609983,8.14666642528744
2024-07-06T19:30:00Z,2024-07-06,7.54200799893383,14.5849492747946,-0.462211214579504,-0.61963381294139,-0.604257745405023,8.14626574433885
2024-07-06T19:40:00Z,2024-07-06,7.5512528193256,14.6011178906161,-0.446042598757947,-0.610388992549618,-0.594487768625448,8.14574058795105
2024-07-06T19:50:00Z,2024-07-06,7.39834192294475,14.3927700592473,-0.654390430126766,-0.76329988893047,-0.713943356969271,8.11228527991402
2024-07-06T20:00:00Z,2024-07-06,7.30806250138538,14.289490183563,-0.757670305811091,-0.853579310489841,-0.767982179543433,8.07604468092881
